id,host_id,calculated_host_listings_count,price,availability_365,property_type,room_type,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,number_of_reviews,review_scores_rating,review_scores_communication,review_scores_checkin,reviews_per_month,picture_url,neighbourhood_cleansed,latitude,longitude,Standardization_Score,Neighborhood_Impact
536347,2635132,1,,331,Entire condo,Entire home/apt,within a few hours,100%,t,f,40,4.72,4.95,4.92,0.25,https://a0.muscache.com/pictures/19595456/1ec27657_original.jpg,Élysée,48.8702,2.32368,0,0
763958,4027086,1,,204,Private room in rental unit,Private room,within an hour,100%,f,t,208,4.84,4.9,4.88,1.37,https://a0.muscache.com/pictures/miso/Hosting-763958/original/41daba73-b668-4292-adf0-deec219fcbc7.jpeg,Élysée,48.87588,2.32375,1,1
893684,4757602,1,,11,Entire rental unit,Entire home/apt,within a day,100%,t,t,147,4.96,4.98,4.99,0.97,https://a0.muscache.com/pictures/miso/Hosting-893684/original/68d02ad1-fef0-4b45-a53d-5ae3d3a8a002.jpeg,Élysée,48.87355,2.31135,1,0
845652,4377714,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,3,5.0,5.0,4.33,0.02,https://a0.muscache.com/pictures/12594506/e20f1dd3_original.jpg,Élysée,48.87458,2.32298,0,-1
782257,4125976,2,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,58,4.43,4.63,4.53,0.42,https://a0.muscache.com/pictures/f7c9d158-1ab6-45ff-880b-8a5b492af13b.jpg,Élysée,48.87326,2.30673,1,-1
1005600,5530745,1,,127,Entire rental unit,Entire home/apt,a few days or more,0%,f,t,175,4.78,4.88,4.84,1.18,https://a0.muscache.com/pictures/ab051d87-b5bb-4d5c-8ac6-720245bd801f.jpg,Élysée,48.87467,2.31912,0,1
886735,4700159,1,,88,Entire rental unit,Entire home/apt,N/A,N/A,f,t,18,4.28,4.61,4.67,0.12,https://a0.muscache.com/pictures/12854582/c17b89d9_original.jpg,Élysée,48.87436,2.30786,1,-1
1036684,5706911,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,24,4.5,4.79,4.96,0.18,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAzNjY4NA%3D%3D/original/92066ca1-ac0e-4119-a8fb-e88e21ea1b0b.jpeg,Élysée,48.86954,2.30992,1,1
1057854,5825986,1,,55,Entire rental unit,Entire home/apt,a few days or more,0%,f,t,67,4.67,4.79,4.83,0.48,https://a0.muscache.com/pictures/0e93f5e1-a8da-4ab3-85ad-53c99bb8a6f0.jpg,Élysée,48.87268,2.32287,1,-1
1218817,6650326,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,1,5.0,5.0,5.0,0.02,https://a0.muscache.com/pictures/18338736/f7c23722_original.jpg,Élysée,48.88122,2.32534,1,-1
1137844,6191677,1,,362,Entire rental unit,Entire home/apt,N/A,N/A,f,t,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/44719633/669b7eeb_original.jpg,Élysée,48.87223,2.3125,0,0
1301263,384087,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,5,5.0,5.0,5.0,0.04,https://a0.muscache.com/pictures/19792930/25fba007_original.jpg,Élysée,48.87291,2.32183,-1,0
1192253,6517072,1,,285,Entire rental unit,Entire home/apt,N/A,N/A,f,t,12,4.75,4.75,4.75,0.08,https://a0.muscache.com/pictures/17926196/85d34c6c_original.jpg,Élysée,48.88141,2.32404,1,1
1329018,7211592,3,,199,Private room in rental unit,Private room,within an hour,100%,t,t,277,4.88,4.97,4.95,1.91,https://a0.muscache.com/pictures/miso/Hosting-1329018/original/c9dd78a2-d7df-4d0d-b659-e5b80502ba4b.png,Élysée,48.87468,2.3061,0,0
1336131,6800442,1,,76,Entire townhouse,Entire home/apt,N/A,N/A,f,t,14,4.36,4.64,4.43,0.16,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTMzNjEzMQ%3D%3D/original/83ea4b41-c56f-4433-9b7d-a0778292381d.jpeg,Élysée,48.87815,2.31613,1,0
1353338,7345994,1,,358,Entire rental unit,Entire home/apt,N/A,N/A,f,t,3,4.33,5.0,5.0,0.03,https://a0.muscache.com/pictures/22547441/7d9c5553_original.jpg,Élysée,48.88251,2.32664,-1,1
1359986,7382021,2,,345,Entire rental unit,Entire home/apt,within an hour,100%,t,t,79,4.88,4.96,4.9,0.54,https://a0.muscache.com/pictures/hosting/Hosting-1359986/original/2e91eb37-0672-430a-9982-5be333a0856b.jpeg,Élysée,48.87286,2.31624,1,0
1363359,7399919,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/106664117/d3d785ff_original.jpg,Élysée,48.8738,2.29991,1,0
1550642,8258009,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,34,4.34,4.78,4.69,0.23,https://a0.muscache.com/pictures/2fa31f65-9c46-4691-bad9-a11e1ce91980.jpg,Élysée,48.86727,2.30873,0,1
1670507,8844391,1,,325,Castle,Entire home/apt,within a few hours,100%,t,f,18,4.83,5.0,5.0,1.14,https://a0.muscache.com/pictures/miso/Hosting-1670507/original/a80b0229-57bc-4b7b-b1b5-8db428ef76b7.jpeg,Élysée,48.86441265893959,2.316204610620112,1,-1
1448260,7671558,1,,315,Entire rental unit,Entire home/apt,within a day,100%,f,t,8,4.88,5.0,5.0,0.5,https://a0.muscache.com/pictures/miso/Hosting-1448260/original/1b1a3041-9972-47fa-b178-b06423db6736.jpeg,Élysée,48.88122647195682,2.318588289927572,1,0
1785028,6844289,1,,334,Entire rental unit,Entire home/apt,within a few hours,100%,t,t,142,4.65,4.75,4.73,0.98,https://a0.muscache.com/pictures/25161454/13b0b7c1_original.jpg,Élysée,48.86759948730469,2.302125930786133,-1,1
1983291,10233360,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,37,4.7,4.94,4.83,0.28,https://a0.muscache.com/pictures/c4919be5-1d9e-482f-83df-d3273b0e08a8.jpg,Élysée,48.88172,2.3238,0,-1
2050473,2690144,1,,365,Entire rental unit,Entire home/apt,within a day,50%,f,t,2,4.5,5.0,5.0,0.01,https://a0.muscache.com/pictures/28217063/2c647863_original.jpg,Élysée,48.87603,2.29678,1,-1
1892591,2138273,1,,239,Entire rental unit,Entire home/apt,within an hour,100%,f,t,18,4.83,4.89,4.89,0.13,https://a0.muscache.com/pictures/26979905/f7faf94c_original.jpg,Élysée,48.87253,2.32271,0,1
2162251,11033456,5,,340,Entire rental unit,Entire home/apt,within an hour,100%,t,t,234,4.82,4.93,4.93,1.87,https://a0.muscache.com/pictures/69411927/ec99d2ea_original.jpg,Élysée,48.87284,2.31504,-1,1
2488505,12691080,8,,344,Private room in rental unit,Private room,within an hour,99%,t,t,109,4.66,4.95,4.9,0.78,https://a0.muscache.com/pictures/34566859/f2f84821_original.jpg,Élysée,48.86994,2.31712,0,-1
2384250,12178962,2,,364,Entire rental unit,Entire home/apt,within a few hours,80%,f,t,11,4.91,5.0,5.0,0.08,https://a0.muscache.com/pictures/airflow/Hosting-2384250/original/1ce36ad9-e3c3-40e8-a7bb-7476e808624c.jpg,Élysée,48.86728,2.30474,-1,-1
2527936,12945246,1,,241,Entire rental unit,Entire home/apt,within a few hours,67%,f,t,17,4.53,4.71,4.88,0.12,https://a0.muscache.com/pictures/33397254/8074e3bc_original.jpg,Élysée,48.87758,2.30122,-1,1
2615923,2158964,1,,360,Entire rental unit,Entire home/apt,within an hour,100%,f,t,231,4.72,4.81,4.84,1.66,https://a0.muscache.com/pictures/34776090/8bf5dbb5_original.jpg,Élysée,48.87741,2.30975,0,0
2415284,12345519,1,,351,Entire rental unit,Entire home/apt,within a few hours,67%,f,t,59,4.83,4.86,4.93,0.43,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjQxNTI4NA==/original/c46d1018-117d-491c-a658-f8c08a901ed5.jpeg,Élysée,48.88152,2.32262,1,1
2579897,13213184,2,,365,Entire rental unit,Entire home/apt,a few days or more,0%,f,t,33,4.52,4.84,4.69,0.24,https://a0.muscache.com/pictures/34814252/efb14d17_original.jpg,Élysée,48.87732,2.32673,-1,0
2678065,13711281,1,,80,Entire rental unit,Entire home/apt,within an hour,100%,t,t,166,4.73,4.77,4.73,1.21,https://a0.muscache.com/pictures/miso/Hosting-2678065/original/04b3daea-e40d-49f8-bb6c-8370fefd5c03.jpeg,Élysée,48.8712,2.30294,0,1
3269034,2380435,1,,37,Entire loft,Entire home/apt,a few days or more,0%,f,t,58,4.66,4.91,4.98,0.5,https://a0.muscache.com/pictures/38c7b352-3889-4e3a-a2d4-143d12aa727a.jpg,Élysée,48.87276,2.30678,1,1
3292824,14587909,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,3,4.33,5.0,4.67,0.03,https://a0.muscache.com/pictures/b4175d59-1cb3-47bc-b143-7c6e7ba172ab.jpg,Élysée,48.86945,2.3246,1,-1
3369673,17000905,1,,160,Entire rental unit,Entire home/apt,N/A,N/A,t,t,80,4.96,5.0,4.98,0.61,https://a0.muscache.com/pictures/44599515/3c77deee_original.jpg,Élysée,48.87638,2.29739,1,1
3385662,7382021,2,,339,Private room in rental unit,Private room,within an hour,100%,t,t,62,5.0,5.0,4.97,0.46,https://a0.muscache.com/pictures/3f5ec514-2a6f-4816-abfd-fa9887a6cfbf.jpg,Élysée,48.87336,2.31537,1,-1
3467111,5921267,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/3be8637c-4126-452b-ba3a-f7ef2d586acd.jpg,Élysée,48.8821,2.32255,-1,0
3483434,12182549,1,,0,Private room in rental unit,Private room,N/A,N/A,f,t,3,4.33,5.0,5.0,0.02,https://a0.muscache.com/pictures/44003234/24d84595_original.jpg,Élysée,48.8815,2.32633,-1,-1
3421149,17244950,1,,21,Entire rental unit,Entire home/apt,within an hour,100%,t,t,87,4.87,4.8,4.86,0.76,https://a0.muscache.com/pictures/13c41932-1c7d-408d-9509-ac8d4705ca35.jpg,Élysée,48.88055,2.32667,1,1
3492606,17587352,1,,23,Entire rental unit,Entire home/apt,within a day,100%,t,t,116,4.97,4.91,4.9,0.87,https://a0.muscache.com/pictures/miso/Hosting-3492606/original/e82bd9cb-7a7d-4945-abe7-5d033b4949e5.jpeg,Élysée,48.87129,2.32306,1,1
3493067,17589140,1,,0,Private room in rental unit,Private room,N/A,N/A,f,f,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/44111139/2715d66e_original.jpg,Élysée,48.8826,2.32629,-1,1
3597324,18125864,1,,166,Private room in rental unit,Private room,within an hour,100%,t,t,458,4.94,4.97,4.98,3.97,https://a0.muscache.com/pictures/0400877a-3d4e-4f93-912c-a86fc26c1943.jpg,Élysée,48.87283,2.32635,-1,1
3626136,15213576,1,,177,Entire rental unit,Entire home/apt,within an hour,100%,f,t,35,5.0,4.97,5.0,1.38,https://a0.muscache.com/pictures/hosting/Hosting-3626136/original/c300462c-74eb-4bae-8e0d-dac18cf506bf.jpeg,Élysée,48.87948789075725,2.3178024911543464,-1,0
3661319,18334311,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,5,5.0,4.8,5.0,0.04,https://a0.muscache.com/pictures/66001362/348ddcc4_original.jpg,Élysée,48.87592,2.32294,-1,-1
3838884,4050855,2,,280,Entire rental unit,Entire home/apt,within a few hours,100%,t,t,24,4.63,4.88,4.88,0.18,https://a0.muscache.com/pictures/48298259/d88dd431_original.jpg,Élysée,48.8746498167612,2.303931951522813,1,0
3891859,3292044,1,,361,Private room in rental unit,Private room,within an hour,100%,f,t,372,4.83,4.9,4.85,2.81,https://a0.muscache.com/pictures/467b81ec-58e0-4810-9aac-2b12c2eee6b9.jpg,Élysée,48.88088,2.31765,0,0
4008153,6453504,1,,5,Entire rental unit,Entire home/apt,N/A,N/A,t,t,199,4.94,4.99,4.96,1.5,https://a0.muscache.com/pictures/54724509/8f27ddd4_original.jpg,Élysée,48.8738,2.31638,1,0
4028720,17370536,1,,270,Entire rental unit,Entire home/apt,within a few hours,100%,t,t,123,4.92,4.93,4.93,0.92,https://a0.muscache.com/pictures/50683238/76eaf11a_original.jpg,Élysée,48.87778305850565,2.302638450246904,1,0
4195472,7232379,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,53,4.74,4.79,4.86,0.42,https://a0.muscache.com/pictures/88911013/76b8c845_original.jpg,Élysée,48.8798,2.31998,-1,0
4327237,22427080,1,,207,Entire rental unit,Entire home/apt,within an hour,100%,t,t,114,4.78,4.87,4.88,0.86,https://a0.muscache.com/pictures/57784046/039492c7_original.jpg,Élysée,48.88009,2.31599,-1,0
4073301,21116551,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,12,4.83,5.0,4.83,0.09,https://a0.muscache.com/pictures/51315991/9667ce03_original.jpg,Élysée,48.87156,2.30878,-1,1
4421966,4535965,1,,216,Boat,Entire home/apt,within a few hours,100%,f,t,248,4.67,4.85,4.79,1.88,https://a0.muscache.com/pictures/690f8759-21a4-403b-beaf-7320675358e8.jpg,Élysée,48.86487,2.3208,-1,0
4155299,14318629,1,,226,Entire rental unit,Entire home/apt,N/A,N/A,f,t,65,4.89,5.0,4.95,0.55,https://a0.muscache.com/pictures/a4d6a42a-2080-4fd5-99e7-a4ce11b1f4f5.jpg,Élysée,48.88038,2.32591,1,0
4555353,23615550,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,10,4.7,4.8,4.5,0.08,https://a0.muscache.com/pictures/58625869/261bee58_original.jpg,Élysée,48.881,2.32383,1,-1
4674903,24180451,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/59113002/85a0751e_original.jpg,Élysée,48.87315,2.31438,0,0
4574708,23713376,1,,133,Private room in bed and breakfast,Private room,within an hour,100%,t,t,272,4.77,4.94,4.91,2.08,https://a0.muscache.com/pictures/57525251/ccdf66bb_original.jpg,Élysée,48.87886,2.32666,1,-1
4696099,24278590,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,2,5.0,5.0,5.0,0.02,https://a0.muscache.com/pictures/58970769/6664b554_original.jpg,Élysée,48.87403,2.30195,1,1
4697300,23960469,1,,364,Entire rental unit,Entire home/apt,a few days or more,0%,f,t,3,5.0,5.0,5.0,0.03,https://a0.muscache.com/pictures/59630730/2bc695a8_original.jpg,Élysée,48.88012,2.31974,1,-1
4602936,7947243,1,,99,Entire rental unit,Entire home/apt,N/A,N/A,f,t,59,4.85,4.97,4.93,1.32,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDYwMjkzNg%3D%3D/original/44c1ebc6-0ced-44fa-815f-542d1332219e.jpeg,Élysée,48.87065,2.31583,1,-1
4770319,24608230,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,19,4.37,4.95,4.79,0.16,https://a0.muscache.com/pictures/59863252/55085748_original.jpg,Élysée,48.87553,2.31497,1,1
4656901,24102250,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/58480267/5501429f_original.jpg,Élysée,48.87278,2.31142,-1,1
4806693,7709874,2,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/60289227/ea778f24_original.jpg,Élysée,48.87426,2.30715,-1,0
4947623,25498443,1,,16,Entire rental unit,Entire home/apt,within an hour,100%,f,t,11,4.91,5.0,5.0,1.26,https://a0.muscache.com/pictures/miso/Hosting-4947623/original/66760c71-e26f-4ecf-ba5b-3071a4b1d114.jpeg,Élysée,48.88074009703472,2.3267354183780955,1,1
5266569,27261368,1,,362,Entire rental unit,Entire home/apt,within a few hours,80%,t,t,148,4.88,4.96,4.98,1.16,https://a0.muscache.com/pictures/70293586/bb2de7f8_original.jpg,Élysée,48.87105,2.31188,0,-1
5416267,28079617,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,1,5.0,5.0,5.0,0.01,https://a0.muscache.com/pictures/81595987/e62757f2_original.jpg,Élysée,48.87243,2.32299,1,1
5506550,28559667,1,,199,Entire rental unit,Entire home/apt,within a few hours,90%,f,t,86,4.9,4.98,4.94,0.67,https://a0.muscache.com/pictures/69245413/4c537fcd_original.jpg,Élysée,48.87216,2.29658,1,-1
5743007,5940059,1,,196,Entire rental unit,Entire home/apt,within a day,60%,f,t,17,4.82,4.88,4.88,0.13,https://a0.muscache.com/pictures/8803a145-06f3-464a-8d25-3a3c9fa405bc.jpg,Élysée,48.8699951171875,2.3084380626678467,0,1
5745576,4908341,1,,10,Entire rental unit,Entire home/apt,N/A,N/A,f,t,16,4.75,5.0,4.93,0.13,https://a0.muscache.com/pictures/84925124/d0d5181b_original.jpg,Élysée,48.882217610654486,2.323659420013424,0,0
5853836,13013633,68,,0,Entire rental unit,Entire home/apt,within an hour,99%,f,t,88,4.47,4.74,4.77,0.69,https://a0.muscache.com/pictures/72916861/2ab64658_original.jpg,Élysée,48.87983,2.31391,1,-1
6136342,23100930,1,,358,Entire rental unit,Entire home/apt,N/A,N/A,f,t,11,4.82,5.0,4.91,0.09,https://a0.muscache.com/pictures/76478806/c644c212_original.jpg,Élysée,48.87575,2.32019,1,-1
5987705,11033456,5,,346,Entire rental unit,Entire home/apt,within an hour,100%,t,t,103,4.92,4.93,4.9,0.82,https://a0.muscache.com/pictures/miso/Hosting-5987705/original/1c288258-d069-4d7e-b537-85c04703553f.png,Élysée,48.87717,2.30182,0,1
6197994,32141322,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,12,4.92,5.0,5.0,0.1,https://a0.muscache.com/pictures/78705680/99b9c79e_original.jpg,Élysée,48.87515,2.30672,0,0
6211581,32208977,1,,247,Entire rental unit,Entire home/apt,within an hour,100%,t,t,135,4.73,4.93,4.9,1.08,https://a0.muscache.com/pictures/hosting/Hosting-6211581/original/a1cfdbbd-46df-4cb0-b06a-7d32f16f8bd0.jpeg,Élysée,48.87487,2.31485,-1,1
6260716,6310136,1,,0,Private room in rental unit,Private room,N/A,N/A,f,t,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/78130688/98f17593_original.jpg,Élysée,48.87373,2.32665,1,1
6307603,28471573,1,,227,Entire rental unit,Entire home/apt,within a day,90%,t,t,41,4.98,4.92,4.95,0.33,https://a0.muscache.com/pictures/miso/Hosting-6307603/original/4c95caf4-3dda-4eab-9138-d5ff74a9c35c.jpeg,Élysée,48.87508,2.30903,1,-1
6454645,28485860,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/82387195/9018e669_original.jpg,Élysée,48.87972,2.31715,1,1
6608686,16671155,3,,2,Entire rental unit,Entire home/apt,within a few hours,100%,t,t,25,4.52,4.84,4.72,0.2,https://a0.muscache.com/pictures/83258959/a3532f2d_original.jpg,Élysée,48.88182,2.32474,-1,1
6631831,34714252,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,16,4.94,5.0,4.88,0.13,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjYzMTgzMQ%3D%3D/original/4f014e7c-ca28-488e-99fd-043558ff1bde.jpeg,Élysée,48.87884,2.31952,-1,-1
6725364,35218250,1,,2,Entire rental unit,Entire home/apt,within an hour,100%,f,t,48,4.83,4.94,4.87,0.39,https://a0.muscache.com/pictures/85926351/6591a500_original.jpg,Élysée,48.87255328187113,2.3204939636017774,0,0
6736599,11872568,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/85921492/ebcdd677_original.jpg,Élysée,48.88161,2.3247,1,0
6764772,35398683,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,30,4.93,5.0,4.9,0.31,https://a0.muscache.com/pictures/miso/Hosting-6764772/original/e8303d3d-d852-4923-b3c3-edfc96a70e06.jpeg,Élysée,48.88165,2.31954,1,1
6746746,30038377,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,1,5.0,5.0,5.0,0.01,https://a0.muscache.com/pictures/97221908/199a8e1f_original.jpg,Élysée,48.8734,2.31664,-1,-1
6668409,17315929,12,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,32,4.47,4.66,4.72,0.26,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjY2ODQwOQ%3D%3D/original/5a9f57d4-59fc-4b41-a87f-d739bca14cca.png,Élysée,48.8703,2.30954,0,0
6675025,17315929,12,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,95,4.53,4.74,4.74,0.77,https://a0.muscache.com/pictures/miso/Hosting-6675025/original/85593c57-cdb2-4a46-8559-3af25d321096.jpeg,Élysée,48.87159,2.30785,0,-1
6919917,36268779,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/89634417/8cdbd537_original.jpg,Élysée,48.87648,2.30686,-1,1
6921651,12694474,5,,214,Entire rental unit,Entire home/apt,within an hour,100%,t,t,752,4.86,4.97,4.89,6.08,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjkyMTY1MQ==/original/69e9f195-603d-409a-889b-bd41ec3d2e8a.jpeg,Élysée,48.87049,2.31828,1,1
6826858,21488476,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/86314225/2ffd5f53_original.jpg,Élysée,48.87958,2.3148,0,0
6967533,3081940,1,,0,Entire loft,Entire home/apt,N/A,N/A,f,t,10,4.0,4.6,4.7,0.08,https://a0.muscache.com/pictures/91214922/33d66fd2_original.jpg,Élysée,48.88021,2.31593,-1,-1
6990972,10572187,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,11,4.91,5.0,4.82,0.1,https://a0.muscache.com/pictures/88626227/f703aec1_original.jpg,Élysée,48.87931,2.31965,-1,-1
7001191,36704652,1,,363,Entire rental unit,Entire home/apt,N/A,N/A,f,t,11,4.18,4.36,4.45,0.09,https://a0.muscache.com/pictures/842f3778-66fa-4ba6-8b08-9fc81d507b4e.jpg,Élysée,48.87759,2.30089,1,1
7048241,36961232,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,1,4.0,5.0,5.0,0.01,https://a0.muscache.com/pictures/95593994/5468c19c_original.jpg,Élysée,48.88251,2.32466,1,1
7067193,18270963,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,1,5.0,5.0,5.0,0.01,https://a0.muscache.com/pictures/89637728/04fdad35_original.jpg,Élysée,48.87428,2.30867,-1,1
7126716,37328374,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/90974463/ae3c3725_original.jpg,Élysée,48.87315,2.30666,1,1
7155575,37473927,1,,358,Entire rental unit,Entire home/apt,N/A,N/A,f,t,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/90767503/c2ecc326_original.jpg,Élysée,48.87664,2.31753,0,-1
7161589,34344807,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/90854341/8da27862_original.jpg,Élysée,48.86763,2.324,0,-1
7272144,38075452,1,,0,Entire condo,Entire home/apt,within a few hours,100%,f,t,18,5.0,5.0,4.94,0.15,https://a0.muscache.com/pictures/miso/Hosting-7272144/original/88ab86dc-7aa8-464e-8efb-baf37f30636e.jpeg,Élysée,48.87829,2.31211,0,0
